10	10	___-__ ______	________________		
10	20	1000	10000		7331
15	35				
15	50				
18	68				
21	89				
21	110				
22	132				
22	154				
22	176				
23	199				
24	223				
25	248				
26	274				
27	301				
27	328				
28	356				
29	385				
29	414				
31	445				
32	477				
33	510				
33	543				
33	576				
34	610				
34	644				
38	682				
38	720				
41	761				
44	805				
45	850				
48	898				
49	947				
49	996				
50	1046				
51	1097				
51	1148				
52	1200				
53	1253				
56	1309				
58	1367				
59	1426				
60	1486				
62	1548				
63	1611				
63	1674				
64	1738				
65	1803				
66	1869				
66	1935				
67	2002				
67	2069				
67	2136				
68	2204				
68	2272				
68	2340				
68	2408				
68	2476				
68	2544				
69	2613				
69	2682				
71	2753				
71	2824				
71	2895				
72	2967				
73	3040				
73	3113				
74	3187				
75	3262				
75	3337				
76	3413				
79	3492				
79	3571				
80	3651				
81	3732				
81	3813				
83	3896				
84	3980				
84	4064				
85	4149				
86	4235				
89	4324				
90	4414				
91	4505				
93	4598				
93	4691				
97	4788				
99	4887				
99	4986				
100	5086				
101	5187				
101	5288				
102	5390				
102	5492				
102	5594				
103	5697				
104	5801				
104	5905				
105	6010				
105	6115				
108	6223				
113	6336				
114	6450				
116	6566			"13""200-210"" + 110 ""______"" = 123"	
118	6684				
121	6805				
121	6926		9997		
125	7051				37
123	7174				
157	7331		10000		
125	7456				
127	7583				7331
127	7710				
128	7838				
128	7966				
128	8094				
130	8224				
131	8355				
134	8489				
136	8625				
136	8761				
136	8897				
137	9034				
139	9173				
139	9312				
139	9451				
140	9591				
141	9732				
141	9873				
142	10015				
142	10157				
144	10301				
144	10445				
146	10591				
146	10737				
146	10883				
147	11030				
147	11177				
147	11324				
148	11472				
150	11622				
151	11773				
151	11924				
152	12076				
153	12229				
153	12382				
155	12537				
156	12693				
156	12849				
157	13006				
161	13167				
161	13328				
161	13489				
164	13653				
166	13819				
174	13993				
175	14168				
176	14344				
177	14521				
179	14700				
180	14880				
181	15061				
182	15243				
183	15426				
183	15609				
183	15792				
184	15976				
185	16161				
188	16349				
189	16538				
189	16727				
189	16916				
191	17107				
191	17298				
192	17490				
193	17683				
193	17876				
193	18069				
194	18263				
196	18459				
196	18655				
196	18851				
201	19052	201			
202	19254	403			
202	19456	605			
204	19660	809			
205	19865	1014			
205	20070	1219			
206	20276	1425			
207	20483	1632			
207	20690	1839			
207	20897	2046			
207	21104	2253			
208	21312	2461			
208	21520	2669			
211	21731				
211	21942				
212	22154				
214	22368				
216	22584				
216	22800				
216	23016				
217	23233				
217	23450				
218	23668				
219	23887				
219	24106				
222	24328				
222	24550				
223	24773				
223	24996				
223	25219				
223	25442				
224	25666				
224	25890				
225	26115				
227	26342				
227	26569				
227	26796				
228	27024				
230	27254				
231	27485				
232	27717				
234	27951				
234	28185				
235	28420				
235	28655				
236	28891				
237	29128				
238	29366				
238	29604				
239	29843				
239	30082				
240	30322				
240	30562				
241	30803				
241	31044				
241	31285				
242	31527				
242	31769				
244	32013				
244	32257				
247	32504				
247	32751				
249	33000				
249	33249				
250	33499				
251	33750				
251	34001				
252	34253				
254	34507				
254	34761				
257	35018				
258	35276				
263	35539				
263	35802				
263	36065				
265	36330				
266	36596				
267	36863				
267	37130				
268	37398				
268	37666				
270	37936				
271	38207				
271	38478				
272	38750				
273	39023				
275	39298				
276	39574				
276	39850				
277	40127				
277	40404				
278	40682				
278	40960				
280	41240				
280	41520				
282	41802				
283	42085				
284	42369				
284	42653				
285	42938				
288	43226				
289	43515				
289	43804				
291	44095				
293	44388				
295	44683				
297	44980				
297	45277				
298	45575				
299	45874				
300	46174				
303	46477				
304	46781				
307	47088				
307	47395				
307	47702				
307	48009				
308	48317				
308	48625				
308	48933				
311	49244				
312	49556				
313	49869				
314	50183				
314	50497				
316	50813				
317	51130				
318	51448				
319	51767				
320	52087				
320	52407				
320	52727				
320	53047				
320	53367				
321	53688				
321	54009				
321	54330				
321	54651				
322	54973				
322	55295				
323	55618				
324	55942				
324	56266				
324	56590				
325	56915				
325	57240				
328	57568				
329	57897				
331	58228				
333	58561				
335	58896				
335	59231				
335	59566				
337	59903				
339	60242				
340	60582				
340	60922				
343	61265				
343	61608				
345	61953				
346	62299				
346	62645				
346	62991				
348	63339				
348	63687				
352	64039				
352	64391				
353	64744				
353	65097				
353	65450				
355	65805				
359	66164				
359	66523				
360	66883				
360	67243				
362	67605				
362	67967				
363	68330				
363	68693				
364	69057				
365	69422				
367	69789				
367	70156				
368	70524				
368	70892				
369	71261				
369	71630				
370	72000				
371	72371				
372	72743				
372	73115				
373	73488				
375	73863				
375	74238				
376	74614				
376	74990				
377	75367				
377	75744				
378	76122				
378	76500				
380	76880				
380	77260				
381	77641				
382	78023				
382	78405				
383	78788				
384	79172				
385	79557				
385	79942				
386	80328				
389	80717				
391	81108				
391	81499				
393	81892				
394	82286				
396	82682				
399	83081				
400	83481				
400	83881				
401	84282				
403	84685				
403	85088				
403	85491				
404	85895				
404	86299				
407	86706				
407	87113				
408	87521				
409	87930				
410	88340				
410	88750				
413	89163				
414	89577				
414	89991				
416	90407				
416	90823				
417	91240				
419	91659				
419	92078				
419	92497				
420	92917				
422	93339				
424	93763				
425	94188				
425	94613				
428	95041				
428	95469				
430	95899				
431	96330				
432	96762				
432	97194				
432	97626				
433	98059				
434	98493				
435	98928				
436	99364				
437	99801				
438	100239				
439	100678				
440	101118				
443	101561				
443	102004				
445	102449				
446	102895				
449	103344				
449	103793				
449	104242				
451	104693				
452	105145				
452	105597				
453	106050				
454	106504				
455	106959				
457	107416				
457	107873				
457	108330				
458	108788				
458	109246				
458	109704				
460	110164				
466	110630				
466	111096				
467	111563				
467	112030				
469	112499				
469	112968				
470	113438				
471	113909				
471	114380				
471	114851				
474	115325				
475	115800				
476	116276				
476	116752				
477	117229				
477	117706				
477	118183				
478	118661				
480	119141				
480	119621				
482	120103				
483	120586				
483	121069				
483	121552				
484	122036				
485	122521				
485	123006				
486	123492				
487	123979				
487	124466				
487	124953				
488	125441				
488	125929				
490	126419				
490	126909				
490	127399				
491	127890				
491	128381				
493	128874				
495	129369				
495	129864				
497	130361				
502	130863				
502	131365				
504	131869				
505	132374				
507	132881				
507	133388				
508	133896				
510	134406				
513	134919				
514	135433				
516	135949				
517	136466				
518	136984				
518	137502				
519	138021				
520	138541				
520	139061				
521	139582				
521	140103				
523	140626				
524	141150				
525	141675				
528	142203				
528	142731				
528	143259				
528	143787				
529	144316				
529	144845				
529	145374				
530	145904				
530	146434				
532	146966				
533	147499				
535	148034				
536	148570				
536	149106				
537	149643				
539	150182				
544	150726				
546	151272				
546	151818				
547	152365				
552	152917				
552	153469				
552	154021				
555	154576				
555	155131				
556	155687				
557	156244				
557	156801				
560	157361				
561	157922				
563	158485				
563	159048				
564	159612				
566	160178				
566	160744				
567	161311				
569	161880				
569	162449				
570	163019				
572	163591				
572	164163				
572	164735				
572	165307				
573	165880				
577	166457				
578	167035				
578	167613				
578	168191				
578	168769				
579	169348				
584	169932				
585	170517				
585	171102				
586	171688				
587	172275				
588	172863				
592	173455				
592	174047				
593	174640				
595	175235				
595	175830				
597	176427				
597	177024				
598	177622				
599	178221				
599	178820				
599	179419				
600	180019				
602	180621				
604	181225				
605	181830				
605	182435				
606	183041				
608	183649				
608	184257				
608	184865				
609	185474				
610	186084				
610	186694				
610	187304				
611	187915				
612	188527				
613	189140				
614	189754				
616	190370				
616	190986				
619	191605				
621	192226				
621	192847				
624	193471				
624	194095				
625	194720				
625	195345				
626	195971				
630	196601				
630	197231				
631	197862				
631	198493				
633	199126				
635	199761				
635	200396				
636	201032				
637	201669				
638	202307				
638	202945				
639	203584				
641	204225				
642	204867				
643	205510				
643	206153				
645	206798				
645	207443				
647	208090				
648	208738				
649	209387				
650	210037				
652	210689				
652	211341				
652	211993				
652	212645				
653	213298				
654	213952				
658	214610				
658	215268				
659	215927				
660	216587				
661	217248				
663	217911				
663	218574				
664	219238				
665	219903				
666	220569				
667	221236				
667	221903				
667	222570				
668	223238				
668	223906				
670	224576				
672	225248				
672	225920				
673	226593				
674	227267				
675	227942				
677	228619				
679	229298				
681	229979				
681	230660				
683	231343				
683	232026				
684	232710				
684	233394				
685	234079				
687	234766				
688	235454				
688	236142				
688	236830				
688	237518				
690	238208				
691	238899				
692	239591				
692	240283				
694	240977				
696	241673				
696	242369				
697	243066				
698	243764				
699	244463				
699	245162				
700	245862				
701	246563				
701	247264				
701	247965				
702	248667				
702	249369				
705	250074				
705	250779				
707	251486				
708	252194				
711	252905				
712	253617				
712	254329				
713	255042				
714	255756				
716	256472				
716	257188				
716	257904				
717	258621				
718	259339				
719	260058				
721	260779				
721	261500				
722	262222				
729	262951				
729	263680				
732	264412				
733	265145				
734	265879				
734	266613				
734	267347				
734	268081				
735	268816				
735	269551				
736	270287				
736	271023				
736	271759				
736	272495				
737	273232				
737	273969				
738	274707				
738	275445				
738	276183				
740	276923				
741	277664				
742	278406				
742	279148				
742	279890				
743	280633				
744	281377				
746	282123				
747	282870				
747	283617				
749	284366				
749	285115				
749	285864				
751	286615				
753	287368				
753	288121				
754	288875				
756	289631				
757	290388				
758	291146				
758	291904				
759	292663				
759	293422				
759	294181				
760	294941				
761	295702				
762	296464				
762	297226				
764	297990				
